City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,argo,37.6333,22.7333,292.35,82,0,1.34,GR,1698623047
169,kavaratti,10.5669,72.642,301.28,69,99,0.8,IN,1698623098
170,rudnichnyy,59.617,52.4703,269.67,84,100,2.59,RU,1698623098
171,redencao,-4.2258,-38.7306,297.38,84,71,1.22,BR,1698623098
172,san patricio,28.017,-97.5169,302.89,66,33,4.64,US,1698623100
173,narasannapeta,18.4167,84.05,294.29,78,20,2.41,IN,1698623100
174,urengoy,65.9667,78.3667,259.33,94,15,1.67,RU,1698623100
175,yarmouth,41.7057,-70.2286,283.69,95,100,4.12,US,1698622869
176,ponta delgada,37.7333,-25.6667,288.55,77,40,2.68,PT,1698623064
177,posto fiscal rolim de moura,-13.0833,-62.2667,301.22,57,63,1.58,BR,1698623101
178,korsakov,46.6328,142.7813,275.06,57,8,0.97,RU,1698623101
179,birao,10.2849,22.7882,297.36,58,38,1.7,CF,1698623102
180,fort st. john,56.2499,-120.8529,273.09,59,100,1.03,CA,1698623048
181,antsiranana,-12.2787,49.2917,297.57,77,19,6.89,MG,1698623102
182,chos malal,-37.3781,-70.2709,277.7,74,83,7.78,AR,1698623103
183,tazacorte,28.629,-17.9293,295.69,84,0,2.06,ES,1698623103
184,korla,41.7597,86.1469,282.99,44,88,0.78,CN,1698622879
185,touros,-5.1989,-35.4608,298.38,74,62,7.14,BR,1698623104
186,baise city,23.8997,106.6133,295.56,99,41,0.82,CN,1698623105
187,natal,-5.795,-35.2094,299.27,73,40,5.14,BR,1698623033
188,minot,48.2325,-101.2963,269.27,68,75,6.69,US,1698622922
189,badger,64.8,-147.5333,273.6,85,40,0.0,US,1698623106
190,taltal,-25.4,-70.4833,289.99,78,25,1.8,CL,1698623106
191,iskateley,67.6803,53.1512,264.27,86,100,5.81,RU,1698623106
192,duartina,-22.4144,-49.4039,297.79,88,99,1.79,BR,1698623106
193,malangali,-8.5667,34.85,291.54,69,62,4.06,TZ,1698623107
194,aasiaat,68.7098,-52.8699,268.03,77,100,1.77,GL,1698623107
195,kazerun,29.6195,51.6541,292.47,46,83,0.64,IR,1698623107
196,manokwari,-0.8667,134.0833,301.16,67,68,0.27,ID,1698622928
197,troy,42.6056,-83.1499,282.11,83,100,2.06,US,1698622922
198,hammerfest,70.6634,23.6821,270.4,86,40,1.03,NO,1698623108
199,kandira,41.0736,30.1746,289.59,93,70,1.59,TR,1698623109
200,prievidza,48.7745,18.6275,288.34,90,100,2.1,SK,1698623109
201,bridgewater,44.3835,-64.5155,280.97,69,99,4.12,CA,1698623109
202,sungai penuh,-2.0833,101.3833,291.85,83,34,1.37,ID,1698623110
203,coquimbo,-29.9533,-71.3436,289.0,88,20,5.66,CL,1698623110
204,canavieiras,-15.675,-38.9472,296.9,74,14,3.23,BR,1698623110
205,vetluga,57.8557,45.781,270.66,91,100,3.75,RU,1698623111
206,ouesso,1.6136,16.0517,296.57,82,81,0.41,CG,1698623111
207,woodlake,37.4211,-77.6793,297.02,77,0,1.54,US,1698623111
208,tikrit,34.6071,43.6782,297.93,31,100,1.56,IQ,1698623111
209,cidreira,-30.1811,-50.2056,294.17,89,88,2.82,BR,1698623112
210,caranan,13.5167,123.0156,301.7,73,67,5.13,PH,1698623112
211,quellon,-43.1167,-73.6167,278.93,90,97,5.48,CL,1698623112
212,minas de marcona,-15.2119,-75.1103,288.88,82,55,5.96,PE,1698622818
213,gao,16.6362,1.637,300.51,11,1,3.99,ML,1698623113
214,bathsheba,13.2167,-59.5167,301.49,83,20,6.69,BB,1698623113
215,silsbee,30.3491,-94.178,300.05,88,71,3.16,US,1698622853
216,zara,44.1197,15.2422,288.49,94,0,2.06,HR,1698623113
217,wuda,39.4994,106.7117,283.54,33,5,3.45,CN,1698623115
218,yantarnyy,54.8717,19.9381,284.07,85,100,10.86,RU,1698623115
219,palangkaraya,-2.2,113.8333,301.64,60,48,1.4,ID,1698623115
220,levuka,50.1834,-105.4011,270.05,89,61,4.59,CA,1698623116
221,klyuchi,52.2667,79.1667,272.75,93,100,2.46,RU,1698623116
222,brisas barra de suchiate,14.55,-92.2167,303.25,82,100,3.83,MX,1698623116
223,uturoa,-16.7333,-151.4333,299.42,79,13,6.44,PF,1698623117
224,zouerate,22.7187,-12.4521,301.81,14,59,2.8,MR,1698623117
225,tsiombe,-25.3,45.4833,294.18,84,0,2.12,MG,1698623038
226,callao,-12.0667,-77.15,294.31,68,0,6.69,PE,1698622965
227,richards bay,-28.783,32.0377,288.1,62,96,4.23,ZA,1698622959
228,basco,20.4487,121.9702,300.47,70,80,6.49,PH,1698623118
229,la ronge,55.1001,-105.2842,272.29,59,100,6.17,CA,1698623118
230,nelspruit,-25.4745,30.9703,283.82,87,100,2.06,ZA,1698623118
231,eno,62.8051,30.1542,270.43,90,14,2.05,FI,1698623119
232,pucon,-39.2822,-71.9543,275.74,89,77,2.38,CL,1698623119
233,talnakh,69.4865,88.3972,253.26,93,52,1.87,RU,1698622820
234,santo antonio do ica,-3.1022,-67.9397,300.13,78,99,2.71,BR,1698623120
235,vila franca do campo,37.7167,-25.4333,288.38,99,64,1.75,PT,1698623051
236,kovdor,67.5662,30.4758,261.34,98,100,1.23,RU,1698623120
237,benghazi,32.1167,20.0667,295.55,74,7,4.32,LY,1698622957
238,puerto lempira,15.2667,-83.7667,301.23,74,40,3.09,HN,1698622998
239,kapuskasing,49.4169,-82.4331,272.2,80,75,2.57,CA,1698623121
240,hotan,37.0997,79.9269,286.27,21,67,1.76,CN,1698623121
241,yalihuyuk,37.3008,32.0855,287.3,47,94,0.85,TR,1698623122
242,lihue,21.9789,-159.3672,301.92,70,40,4.63,US,1698623123
243,el idrissia,34.4454,2.5275,290.47,31,67,6.31,DZ,1698623123
244,praia da vitoria,38.7333,-27.0667,287.29,88,20,2.77,PT,1698623123
245,tura,25.5198,90.2201,291.99,94,7,1.47,IN,1698623124
246,west island,-12.1568,96.8225,299.14,83,75,6.69,CC,1698623124
247,aykhal,66.0,111.5,247.98,99,56,1.48,RU,1698622847
248,ji'an,27.1172,114.9793,292.93,79,1,0.49,CN,1698623125
249,campos belos,-13.0367,-46.7717,304.91,24,66,0.73,BR,1698623125
250,kutoarjo,-7.7169,109.9128,300.61,70,38,1.25,ID,1698623125
251,daru,-9.0763,143.2092,297.92,91,100,4.58,PG,1698622954
252,chongwe,-15.3292,28.682,295.86,53,100,1.11,ZM,1698623126
253,san agustin de valle fertil,-30.6335,-67.4682,299.6,8,1,10.77,AR,1698623126
254,ribeira grande,38.5167,-28.7,290.56,65,99,2.53,PT,1698622892
255,el salto,20.3333,-104.5,292.89,88,44,1.41,MX,1698623126
256,luderitz,-26.6481,15.1594,290.67,55,1,7.48,NA,1698622894
257,umba,66.6871,34.3429,268.69,78,61,2.19,RU,1698623127
258,kinkala,-4.3614,14.7644,298.36,70,99,0.44,CG,1698623127
259,kosmach,48.7509,24.3673,286.46,57,72,2.54,UA,1698623127
260,mengcheng chengguanzhen,33.2661,116.566,292.23,53,0,2.82,CN,1698623128
261,gubkinskiy,64.434,76.5026,260.5,94,11,1.62,RU,1698623128
262,plastun,44.7561,136.2939,281.36,37,11,0.58,RU,1698622946
263,berezovyy,51.6667,135.7,274.32,64,76,0.5,RU,1698623128
264,wuwei,37.9281,102.6414,283.37,31,0,2.59,CN,1698623129
265,essaouira,31.5125,-9.77,293.87,68,40,2.57,MA,1698623129
266,pigeon forge,35.7884,-83.5543,296.7,72,20,0.0,US,1698623129
267,tolanaro,-25.0319,46.9987,297.19,83,20,1.03,MG,1698623129
268,jayapura,-2.5333,140.7,298.81,77,48,2.0,ID,1698623130
269,pisco,-13.7,-76.2167,294.18,73,0,10.8,PE,1698622924
270,vila velha,-20.3297,-40.2925,299.12,73,0,4.63,BR,1698623130
271,lintong,34.378,109.2089,281.53,56,1,1.22,CN,1698623130
272,pitrufquen,-38.9833,-72.65,282.16,61,75,4.12,CL,1698623131
273,hun,29.1268,15.9477,294.05,48,16,3.25,LY,1698623131
274,weno,7.4515,151.8468,302.12,84,100,3.6,FM,1698623131
275,newman,37.3138,-121.0208,295.5,30,0,0.45,US,1698622900
276,puerto baquerizo moreno,-0.9,-89.6,296.53,78,35,5.59,EC,1698623132
277,pangkalanbuun,-2.6833,111.6167,301.42,71,50,1.33,ID,1698623132
278,udachny,66.4167,112.4,251.73,76,74,1.64,RU,1698623132
279,ataq,14.5377,46.8319,293.24,76,37,3.1,YE,1698623132
280,tofol,5.3248,163.0078,302.03,79,75,6.69,FM,1698622968
281,gadzhiyevo,69.2551,33.3362,266.38,92,100,3.11,RU,1698622971
282,kulhudhuffushi,6.6221,73.07,297.97,94,100,5.28,MV,1698623133
283,karratha,-20.7377,116.8463,305.71,23,91,2.82,AU,1698622962
284,imbituba,-28.24,-48.6703,295.08,84,90,0.6,BR,1698623133
285,alesund,62.4723,6.1549,278.57,59,0,8.75,NO,1698622932
286,oranjemund,-28.55,16.4333,293.6,24,0,4.3,NA,1698623134
287,prince george,53.9166,-122.753,275.84,51,0,1.54,CA,1698623006
288,mossel bay,-34.1831,22.146,286.71,63,3,7.28,ZA,1698623134
289,polokwane,-23.9045,29.4688,283.62,76,63,5.14,ZA,1698623134
290,st. john's,47.5649,-52.7093,279.25,70,75,10.29,CA,1698622870
291,carnarvon,-24.8667,113.6333,293.61,66,0,10.43,AU,1698623135
292,zaozersk,69.4005,32.4476,265.92,95,100,2.56,RU,1698623135
293,san fernando,15.0286,120.6898,300.0,77,74,3.58,PH,1698623018
294,nguigmi,14.2495,13.1092,301.64,23,39,4.99,NE,1698623136
295,kandhkot,28.244,69.1824,296.84,34,15,1.17,PK,1698623136
296,saint-philippe,-21.3585,55.7679,296.92,86,49,4.77,RE,1698623136
297,malakanagiri,18.35,81.9,291.68,79,19,0.97,IN,1698623137
298,tralee,52.2704,-9.7026,281.69,91,96,1.66,IE,1698623137
299,broken hill,-31.95,141.4333,295.06,24,52,1.89,AU,1698623137
300,vorkuta,67.5,64.0,254.39,99,24,1.75,RU,1698623137
301,kuala terengganu,5.3302,103.1408,298.12,94,20,1.54,MY,1698623138
302,duncan,34.5023,-97.9578,276.09,84,100,8.75,US,1698623138
303,ketchikan,55.3422,-131.6461,279.14,81,75,1.54,US,1698623138
304,tome acu,-2.4189,-48.1522,302.81,55,67,2.5,BR,1698623139
305,alice springs,-23.7,133.8833,303.9,7,36,6.17,AU,1698623139
306,soio,-6.1349,12.3689,298.68,88,49,4.76,AO,1698622917
307,matoury,4.8483,-52.3317,301.13,83,0,2.06,GF,1698623139
